id,source_id,dataset,graph,strategy,provenance,tier,n_ann,label,prop,original_entity,perturbed_form,augmented_question,assigned_annotators
cypherbench:2031,0adf87df-c44a-41b4-8818-6f562265d067,cypherbench,politics,alias,llm,1-census,2,PoliticalParty,name,All Ceylon Tamil Congress,ACTC,What are the names of countries that the Ministry of Technology and Research belongs to or where the ACTC operates?,A;B
cypherbench:1643,2816b588-b849-4c46-9c4a-26d483f162bc,cypherbench,movie,alias,attested,1-sample,2,Person,name,Minae Noji,Stacy Okada,Who are the directors of movies featuring Stacy Okada?,A;C
cypherbench:1894,c5f189e7-f30a-4446-80eb-921466238daa,cypherbench,politics,alias,attested,1-sample,2,PoliticalParty,name,Party of Regions,Party of the Regions,What are the names of politicians who are members of the Party of the Regions?,A;D
cypherbench:1371,fb5cbbe3-6f08-4ae6-b594-14fc74fa5683,cypherbench,geography,alias,llm,1-census,2,River,name,Xiang River,Xiangjiang River,What are the names of lakes that the Xiangjiang River flows into?,A;E
mindthequery:585,Complex_Aggregation_test:54,mindthequery,healthcare,alias,llm,1-census,2,Reaction,description,Cholangitis,bile duct infection,"What is the total number of cases associated with the reaction 'bile duct infection', grouped by the gender of the patient?",B;C
cypherbench:1789,4157c880-a169-43fb-92f7-dd9416ea14c5,cypherbench,politics,abbrev,attested,1-sample,2,InternationalOrganization,name,World Meteorological Organization,WMO,"Provide the names of all countries that are members of the WMO, along with the number of countries each has diplomatic relations with.",B;D
mindthequery:663,Complex_Aggregation_test:142,mindthequery,healthcare,abbrev,llm,1-census,2,ReportSource,name,Health Professional,HCP,What is the average age of cases falling under each age group that were reported by 'HCP' and resulted in 'Life-Threatening' outcomes?,B;E
mindthequery:116,Complex_Aggregation_test:163,mindthequery,covid,alias,llm,1-census,2,Place,type,Restaurant,resto,"For each continent, calculate the average visit duration in seconds for visits made by persons with 'Sick' health status to places of type 'resto'. Return the continent name and the average duration.",C;D
mindthequery:320,Complex_Retrieval_test:175,mindthequery,covid,typo,algorithmic,2-sample,1,Place,type,Park,Prak,"Find all persons who visited a 'Prak' after they were confirmed to be 'Healthy', and return their names along with the start times of those visits.",A
cypherbench:925,aeb309ff-883c-48f8-94d4-89c204a97928,cypherbench,company,partial,algorithmic,2-sample,2,Person,name,Nancy McKinstry,McKinstry,What are the names and launch years of companies that have had McKinstry as their CEO at any time?,C;E
