id,strategy,original_entity,perturbed_form,note
cypherbench:1529,abbrev,Israel,IL,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1120,abbrev,Russia,RUS,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:2050,abbrev,Ministry of National Defence,MND,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1987,abbrev,Somalia,SOM,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1941,abbrev,Bulgaria,BUL,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1688,abbrev,Canada,CA,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:283,abbrev,Pacific Southwest Airlines Flight 1771,PSA Flight 1771,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:2065,abbrev,Venezuelan Democratic Party,PDV,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
mindthequery:972,abbrev,Germany 2011,WWC 2011,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1499,abbrev,National Board of Review Award for Best Cast,NBR Award for Best Cast,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1494,abbrev,The Saul Zaentz Company,Saul Zaentz Co.,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:224,abbrev,Boston Celtics,BOS,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1730,alias,vampire film,vampire movie,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1781,alias,Sam Nujoma,Samuel Daniel Shafiishuna Nujoma,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:977,alias,James A. Bell,James Aaron Bell,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1062,alias,Dongting Lake,Dòngtíng Hú,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1646,alias,"I, Tonya",I Tonya,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:647,alias,Bandit Heeler,Bluey's Dad,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:900,alias,General Motors,Government Motors,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
mindthequery:638,alias,Respiratory arrest,stopped breathing,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
mindthequery:868,alias,Physician,doctor,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
mindthequery:1150,alias,Denmark,The Danes,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1059,alias,Kula Kangri,Kulha Kangri,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:475,alias,Avengers,Earth's Mightiest Heroes,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
zograscope:120,casing,Myers,myers,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
mindthequery:723,casing,RIZATRIPTAN,rizatriptan,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
mindthequery:1223,casing,France 2019,france 2019,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:342,casing,Southern Airways Flight 242,southern airways flight 242,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:817,casing,jewelry industry,JEWELRY INDUSTRY,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
mindthequery:703,casing,Physician,physician,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1547,partial,Schindler's List,List,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1492,partial,The Lost World: Jurassic Park,World Jurassic Park,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
mindthequery:1194,partial,Canada 2015,Canada,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1516,partial,Honolulu Zoo,Zoo,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
mindthequery:1030,partial,Canada 2015,Canada,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:968,partial,Hartmut Mehdorn,Mehdorn,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:689,partial,Shaera Targaryen,Shaera,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:26,partial,Atlantic Division,Atlantic,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1363,partial,Kasai River,Kasai,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:530,partial,Tommen Baratheon,Tommen,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:6,partial,Central Division,Central,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:1542,partial,TSG Entertainment,TSG,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
zograscope:184,typo,Expedition,Expeditio,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
cypherbench:742,typo,Dwight Conrad,Dwight Conras,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
zograscope:906,typo,Headech,Hadech,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
zograscope:1060,typo,Sandra,Sancra,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
zograscope:137,typo,Investigation complete; no suspect identified,Investigation complete; no suspect idetnified,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
zograscope:97,typo,Pontiac,Pontiaac,"legacy calibration set (packages of 2026-08-22/23, sent to all 5 annotators) — excluded from measurements"
